,Date Created,Number of Likes,Source of Tweet,Tweet,Sentiment
0,2022-11-20 23:59:21+00:00,4,Twitter Web App,"What are we drinking today @TucanTribe 
@MadBears_ 
@lkinc_algo 
@al_goanna 

#WorldCup2022 https://t.co/Oga3TzvG5h",neutral
1,2022-11-20 23:59:01+00:00,3,Twitter for iPhone,"Amazing @CanadaSoccerEN  #WorldCup2022 launch video. Shows how much the face of Canada and our men’s national team have changed since our last World Cup entry in 1986.  Can’t wait to see these boys in action!

This is Canada: FIFA World Cup Opening Video https://t.co/7g73vvwtg8",positive
2,2022-11-20 23:58:41+00:00,1,Twitter for iPhone,Worth reading while watching #WorldCup2022 https://t.co/1SQrNa2dYU,positive
3,2022-11-20 23:58:33+00:00,1,Twitter Web App,"Golden Maknae shinning bright

https://t.co/4AyZbzGTX4
#JeonJungkook #Jungkook #전정국 #정국 #JK #GoldenMaknae #bunny #Kookie #Jungshook #BTS #방탄소년단 #WorldCup2022 #FIFAKOOK 
@BTS_twt",positive
4,2022-11-20 23:58:28+00:00,0,Twitter for Android,"If the BBC cares so much about human rights, homosexual rights, and women rights then why not say these before the opening ceremony?? Why are they saying these during the opening ceremony?? Why did the BBC censor the #WorldCup2022 opening ceremony?? https://t.co/f72P03ZN2k",negative
5,2022-11-20 23:57:32+00:00,0,Twitter for Android,"And like, will the mexican fans be able to scream ""PUTO"" now? Or is that too homophobic for qatar? @FIFAWorldCup #WorldCup2022",negative
6,2022-11-20 23:57:06+00:00,0,Twitter for Android,Look like a only me and the Jamaican football team naw follow up worldcup #WorldCup2022,neutral
7,2022-11-20 23:57:05+00:00,0,Twitter for Android,"Really? Football on a Monday morning at 9 and 12 and then 3? I need to pinch myself. Is it really happening? 
#WorldCup2022",negative
8,2022-11-20 23:56:10+00:00,1,Twitter for iPhone,"As the World Cup starts in Qatar, it’s Black Awareness Day in Brazil✊🏽. Despite the atrocities linked to this year’s host and to Fifa, soccer is so fundamental for lower classes, mostly Black and Brown, as Vini Jr identifies #WorldCup2022 #diadaconsciencianegra #CopaDoMundo2022 https://t.co/8mI9UqNWX7",positive
9,2022-11-20 23:56:08+00:00,0,Twitter for iPhone,#WorldCup2022 @ITVSport &amp; @LFSYSTEMMUSIC go together so well ‘Hungry For Your Love’🫶 ⚽️👌,positive
10,2022-11-20 23:56:05+00:00,1,Twitter for iPhone,"#Qatar tried to help its useless soccer team 5 minutes into the inaugural game, by denying an undoubtedly perfectly good goal to #Ecuador @ #WorldCup2022 

This world cup host is a #FAIL https://t.co/Y2YwlQQwFE",negative
11,2022-11-20 23:54:44+00:00,0,Twitter for iPhone,"What a happy night @socios @Socios_Turkiye 
#CHZ $PFL #socios #WorldCup2022 https://t.co/1sDsWvrztU",positive
12,2022-11-20 23:54:31+00:00,0,Twitter for iPhone,Let’s go #TeamUSA 🇺🇸🇺🇸🇺🇸#WorldCup2022,positive
13,2022-11-20 23:54:12+00:00,5,Twitter for iPhone,Tyler Adams will have a CAPTAIN moment this #WorldCup2022. A moment that he puts #USMNT on his back… and hits a banger that makes him a household name. Bookmark it bitches.,positive
14,2022-11-20 23:53:52+00:00,0,Twitter Web App,"This is a good and promising project.should all look forward to the success of this project❤

@Sunita266
@SashikantaPatt9
@naresh661302

#TopGoal #BNBChain #WorldCup2022 https://t.co/BwAhRxRkBb",positive
15,2022-11-20 23:53:44+00:00,1,Twitter for iPhone,What is your World Cup prediction? We have 🇩🇪 über 🇧🇪 in the Final. #GER #BEL #WorldCup2022,neutral
16,2022-11-20 23:53:27+00:00,0,IFTTT,"RT @Quicktake Qatari officials are set to ban the sale of alcohol within #WorldCup2022 stadiums, dramatically reversing a decision to allow sales of Budweiser beer.

@SimoneFoxman has the latest https://t.co/3iyP1Tj98S https://t.co/Dx2naRMhFm",neutral
17,2022-11-20 23:53:13+00:00,2,Twitter Web App,"Nicki Minaj, Maluma &amp; Myriam unite for #WorldCup2022 anthem #TukohTaka. https://t.co/K9pC8Hcada",neutral
18,2022-11-20 23:53:09+00:00,1,Twitter for Android,"Ready for Day 2 ✌🏻
#QatarWorldCup2022 
#WorldCup2022 
#NED https://t.co/NVYnSIWlZq",positive
19,2022-11-20 23:52:54+00:00,0,Twitter Web App,@ALosersLament @Majstar7 @piersmorgan racist uncultured inbreed fool you prove to be. just saying #WorldCup2022,negative
20,2022-11-20 23:52:28+00:00,0,Twitter for iPhone,"Hey @AlphonsoDavies how’s the hamstring? 

#CanadaSoccer #WorldCup2022 #FIFAWorldCup2022 #Davies",neutral
21,2022-11-20 23:51:54+00:00,1,Twitter Web App,@realDonaldTrump @DonaldJTrumpJr  both can suck my dick! #RT #LaurenBoebert #WorldCup2022 #ukrainecounteroffensive https://t.co/qVRtGje0DI,negative
22,2022-11-20 23:51:15+00:00,252,Twitter for Mac,"SBS drama &lt;#CheerUp&gt; reportedly to cancel the broadcast on 11/21, 11/22 and 11/28 due to #WorldCup2022, the episode 12 will air on 11/29.

#BaeInHyuk #HanJiHyun #KimHyunJin #JangGyuRi #LeeEunSaem https://t.co/43z8pxcAPX",neutral
23,2022-11-20 23:50:26+00:00,7,Twitter Web App,Cameroon✅ @FecafootOfficie #WorldCup2022 https://t.co/BvkxIlZRlG,neutral
24,2022-11-20 23:50:22+00:00,0,Twitter for Android,"Exciting things are happening at #Sporten headquarters🎉🎈🎊. 

Don’t miss the opportunity and see you at the #WorldCup2022  ⚽️!!!!

#FIFAWorldCupQatar2022 #QatarWorldCup2022 #Airdrop $BALL https://t.co/kRkOd93baJ",positive
25,2022-11-20 23:50:20+00:00,5,Twitter for iPhone,"JUNGKOOK 
at the opening ceremony 
of the World Cup
#bts #btsarmy #jungkook #worldcup #worldcup2022 #bts_army #fifaworldcup #qatar2022 #qatar #football #soccer #w杯 #ジョングク #グク  #taehyung #ワールドカップ #カタールw杯 #カタール #qatar🇶🇦 #worldcup2018 #fyp #fypシ https://t.co/MeeUVxRKiZ",neutral
26,2022-11-20 23:50:13+00:00,1,Twitter Web App,"Italy Vs France.
Much better than watching #WorldCup2022 https://t.co/tCjx3TnL8n",positive
27,2022-11-20 23:49:47+00:00,2,Twitter Web App,Well that was fun. When you never qualify on your own and FIFA just gifts it to you for your oil money you get a taste of reality real quick. #WorldCup #WorldCup2022 #QatarvsEcuador,positive
28,2022-11-20 23:49:46+00:00,0,Twitter Web App,"Diversity, passion, incredible support- these are our beauty and strength! Love this, and I can't wait to cheer for my boys tomorrow! 

I Believe! COME ON YOU YANKS!!! 🔥🇺🇸⚽️

#USMNT #WorldCup2022 https://t.co/x4NHKKmkwT",positive
29,2022-11-20 23:49:11+00:00,0,Twitter for iPhone,We do not need hypocritical medias with double standards #WorldCup2022,negative
30,2022-11-20 23:49:02+00:00,1,Twitter for iPhone,Let’s direct the same passion we pour into #WorldCup2022 toward #NetZero #BanFossilFuel #ClimateCrisis so our children can still live on this planet! https://t.co/XPbpktVc4u,positive
31,2022-11-20 23:48:50+00:00,1,Twitter for iPhone,"While in the waiting room at Urgent Care, a woman saw my Liverpool shirt, we ended up having a chat about #LFC, Mo Salah, #WorldCup2022, Leo Messi. 
It was quite nice 😊 https://t.co/dYbIFSkDP0",positive
32,2022-11-20 23:48:47+00:00,0,Twitter Web App,What happened in Turkish football today?#TurkishNationalTeam #CuneytCakir #WorldCup2022 https://t.co/2ctXYjpWMK https://t.co/e5gmUqf6sn,neutral
33,2022-11-20 23:48:03+00:00,7,Twitter for iPhone,"🎸 Myself and @MeiEms 
📍@TyPawb, Wrecsam
📅 29/11/22
🕰 5pm onwards

Come and join us for the build up to @Cymru vs @England in the World Cup.

(commentary in Welsh)

#WorldCup #WorldCup2022 https://t.co/kSL4yvghkh",neutral
34,2022-11-20 23:47:25+00:00,0,Twitter Web App,#WorldCup2022 Let's go!! @Cristiano,positive
35,2022-11-20 23:47:16+00:00,8,Twitter Web App,England ✅ @England #WorldCup2022 https://t.co/Zy3uPDRfWI,positive
36,2022-11-20 23:46:51+00:00,1,Twitter for Android,"If the BBC cares so much about human rights, gay rights, and women rights then why not say these before the opening ceremony?? Why are they saying these during the opening ceremony?? Why did the BBC censor the #WorldCup2022 opening ceremony?? https://t.co/GmjpUEetmJ",negative
37,2022-11-20 23:46:32+00:00,0,Twitter Web App,The frist goal in the #worldcup2022 #QatarWorldCup2022 #Qatar2022 #Qatar #worldcup #Ecuador #edit #fyp #video #viral #ahmed_abdo https://t.co/T2TmsILt5m,neutral
38,2022-11-20 23:46:30+00:00,0,Twitter Web App,"With your looks, you couldn't even get with a football player in the 4th division 

#QatarWorldCup2022 #Soccer #Football #WorldCup2022",negative
39,2022-11-20 23:46:17+00:00,4,Twitter for iPhone,Good evening from Qatar #WorldCup2022 https://t.co/VZuzMKEbbw,positive
40,2022-11-20 23:45:53+00:00,1,Twitter for iPhone,Fans across the Middle East celebrate historic World Cup moment #Gaza #Qatar2022 #WorldCup2022  https://t.co/aWPFmbsOrj,positive
41,2022-11-20 23:45:33+00:00,0,Twitter for Android,"Get A+ grades by letting us handle your assignments
We are committed to ensure we deliver quality, original work and within the stipulated time
#Assignmentdue
#Essaysdue
#englandsquad
#WorldCup2022
#EcuadorvsQatar",positive
42,2022-11-20 23:45:15+00:00,0,Twitter for Android,Yes we can 🇨🇦 #WorldCup2022,positive
43,2022-11-20 23:43:53+00:00,0,Twitter Web App,seems fine right? https://t.co/CvLuA1dW5X #WorldCup2022  #TheHobby,positive
44,2022-11-20 23:43:50+00:00,0,Twitter for iPhone,Who are you rooting for this year in the #WorldCup2022 ? #England,neutral
45,2022-11-20 23:43:29+00:00,2,Twitter for iPhone,USA v Wales tomorrow. A must win? #WorldCup2022,positive
46,2022-11-20 23:42:49+00:00,1,TweetDeck,World Cup 2022: Ecuador defeats Qatar 2-0. #WorldCup #WorldCup2022 https://t.co/gZuTLPP2es,neutral
47,2022-11-20 23:42:45+00:00,0,Twitter for iPhone,"@MEXC_Global World Cup + England
#MEXCWorldCup01 #WorldCup2022",neutral
48,2022-11-20 23:42:41+00:00,0,Twitter for iPhone,Will not boycott watching a few chosen games. The World Cup is still a spectacle but FIFA got it so badly wrong this year #FIFAWorldCup2022 #WorldCup2022,negative
49,2022-11-20 23:42:40+00:00,3,Twitter for iPhone,"Group F of the NFT #WorldCup where the fate of a real team decides who is the ultimate NFT community includes:
@DeGodsNFT 
@MeebitsNFTs 
@DegenApeAcademy 
@okaybears 

Which #NFTCommunity will win #worldcup2022 ?

Join our discord to talk more: https://t.co/fxRDTkUadl https://t.co/lxP4e404wu",neutral
50,2022-11-20 23:42:25+00:00,25,Twitter for iPhone,"Viva Ecuador! 🇪🇨 We were ready! So exciting to be in the opening game and to win it! #WorldCup2022
Now we need USA 🇺🇸 to win Monday! https://t.co/T0r2RDbPU9",positive
51,2022-11-20 23:42:17+00:00,3,Twitter Web App,Video: #PresidentBiden wishes #USMNT good luck https://t.co/Kfb9OObjf3 #WorldCup #WorldCup2022 #Qatar2022 #Qatar,positive
52,2022-11-20 23:41:57+00:00,0,Twitter for Android,"Equally amazing💪💜😊

#WorldCup 
#WorldCup2022 
#JUNGKOOKxFIFA 
#JungkookAtFIFAWorldCup 
@BTS_twt https://t.co/IzsLMV4Ct0",positive
